date,score,bias,flash,vvix_lead,credit_divergence,sox_momentum_decel,tech_crash_day,vix_tech_correlation,sox_qqq_divergence,memory_momentum,tech_breadth
2006-01-03,14.05508197699902,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,4.547448785690689,70.0
2006-01-04,8.12925969327787,BULLISH,False,3.0383795309168127,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2006-01-05,6.000896358543432,BULLISH,False,1.7206882753102226,0.0,0.0,0.0,0.0,0.0,0.0,32.00000000000001
2006-01-06,5.04,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.000000000000004
2006-01-09,4.32,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2006-01-10,7.1,BULLISH,False,0.0,0.0,70.0,0.0,0.0,0.0,0.0,19.999999999999996
2006-01-11,6.380000000000001,BULLISH,False,0.0,0.0,70.0,0.0,0.0,0.0,0.0,16.000000000000004
2006-01-12,11.038800681074163,BULLISH,False,3.550456229108301,0.0,70.0,38.381517875134236,13.044812768569672,0.0,0.0,12.00000000000001
2006-01-13,40.5,CAUTIOUS,False,3.3358843920227477,0.0,90.0,26.540696699847988,26.560921334403403,0.0,15.51017002845514,7.9999999999999964
2006-01-17,16.297789919987803,BULLISH,False,20.003582463839575,0.0,0.0,63.75319044475805,49.139264520168304,0.0,49.4165633792198,4.0000000000000036
2006-01-18,40.590970234407116,CAUTIOUS,False,26.840981856990417,0.0,0.0,42.58607268643035,90.20215607646026,0.0,56.13555908203125,0.0
2006-01-19,3.6184536731192622,BULLISH,False,18.78658861096334,0.0,0.0,0.0,0.0,0.0,19.766625351687892,0.0
2006-01-20,45.0,CAUTIOUS,True,60.0,0.0,0.0,100.0,100.0,0.0,42.08133952652636,63.99999999999999
2006-01-23,45.0,CAUTIOUS,False,60.0,0.0,0.0,0.0,100.0,0.0,0.0,68.0
2006-01-24,19.421029072183984,BULLISH,False,39.844248691433684,0.0,0.0,0.0,0.0,0.0,0.0,72.0
2006-01-25,34.2,NEUTRAL,False,25.013679026894977,0.0,0.0,14.478122497126137,0.0,0.0,18.42291150314921,76.0
2006-01-26,36.0,NEUTRAL,False,12.53145445395063,0.0,0.0,0.0,0.0,0.0,0.0,80.0
2006-01-27,3.659733958002174,BULLISH,False,0.426671128586964,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996
2006-01-30,8.719562473236945,BULLISH,False,9.956637758505682,0.0,70.0,2.256331870461503,0.0,0.0,0.0,19.999999999999996
2006-01-31,40.5,CAUTIOUS,False,22.781655034895355,0.0,90.0,52.29407980954904,34.11306042884985,0.0,0.0,54.0
2006-02-01,15.506249054701348,BULLISH,False,6.522278250805957,0.0,70.0,0.0,0.0,0.0,0.0,58.00000000000001
2006-02-02,41.4,CAUTIOUS,False,25.5947497949139,0.0,0.0,73.45350789473153,44.740301379234005,0.0,0.0,92.0
2006-02-03,41.66742136280912,CAUTIOUS,False,16.805866775310708,0.0,0.0,41.03350120884734,74.27184466019423,0.0,3.2150002171794867,92.0
2006-02-06,41.4,CAUTIOUS,False,16.133985211523672,0.0,0.0,9.198093903727344,23.94354988626155,0.0,0.0,92.0
2006-02-07,41.4,CAUTIOUS,False,26.22524504900983,0.0,0.0,17.39858601157865,42.02257655562069,0.0,0.0,92.0
2006-02-08,41.4,CAUTIOUS,False,5.573197840584321,0.0,0.0,0.0,0.0,0.0,0.0,92.0
2006-02-09,41.4,CAUTIOUS,False,9.799291617473349,0.0,0.0,34.68793252083567,0.0,0.0,0.0,92.0
2006-02-10,43.2,CAUTIOUS,False,1.9118739492512304,0.0,31.550526678944646,22.79704435932691,0.0,0.0,0.0,96.0
2006-02-13,45.0,CAUTIOUS,False,10.59754158749846,0.0,57.53879327598521,48.04512593684248,0.0,0.0,12.469442783740226,100.0
2006-02-14,45.0,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2006-02-15,45.0,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2006-02-16,11.879999999999999,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
2006-02-17,43.2,CAUTIOUS,False,0.0,0.0,0.0,65.66261913422032,0.0,18.083797379208065,0.0,96.0
2006-02-21,43.2,CAUTIOUS,True,0.0,0.0,0.0,72.28784317277453,88.0499286477824,54.4824600726207,39.68725903665246,96.0
2006-02-22,34.54172410247013,NEUTRAL,False,0.0,0.0,0.0,0.0,0.0,76.75938689437805,33.611528114692746,62.0
2006-02-23,45.0,CAUTIOUS,False,0.0,0.0,0.0,36.02214274378679,0.0,100.0,62.02352604287553,92.0
2006-02-24,36.53315466033272,NEUTRAL,False,0.0,0.0,0.0,0.0,0.0,81.1847881340727,55.825845663586065,58.00000000000001
2006-02-27,43.89525317587544,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,97.54500705750097,41.1245996204193,24.0
2006-02-28,37.800000000000004,NEUTRAL,True,0.0,0.0,0.0,61.92127381811444,48.08895129962403,74.88500677223398,73.17030160467858,84.0
2006-03-01,4.122601178099323,BULLISH,False,0.0,0.0,0.0,0.0,0.0,5.672269965771859,2.5108456099058873,19.999999999999996
2006-03-02,3.763128109278757,BULLISH,False,0.0,0.0,0.0,0.0,0.0,6.063692717689917,9.173392380809254,16.000000000000004
2006-03-03,18.914104805214354,BULLISH,False,0.0,0.0,70.0,43.14960436562805,30.799673789617238,0.0,7.1034093096433715,46.0
2006-03-06,35.773058083557004,NEUTRAL,False,10.27764247442764,0.0,70.0,39.628249097192416,79.49568463012668,0.0,17.16239041582135,76.0
2006-03-07,45.0,CAUTIOUS,True,8.805593950727664,0.0,0.0,89.2040174261762,65.45259733066298,25.76599711376276,94.86929383597266,76.0
2006-03-08,45.0,CAUTIOUS,False,2.0718401373054363,0.0,0.0,12.946549981556569,0.0,16.456582454955903,96.1387559748259,80.0
2006-03-09,45.0,CAUTIOUS,False,11.08930323846904,0.0,0.0,50.65398613598108,12.925182915127387,26.952802855918222,100.0,80.0
2006-03-10,45.0,CAUTIOUS,False,0.0,0.0,0.0,11.067950840183045,0.0,20.70158668153743,100.0,84.0
2006-03-13,45.0,CAUTIOUS,False,0.0,0.0,0.0,13.748061825273883,0.0,58.34991570120629,47.30604126563547,88.0
2006-03-14,45.0,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,100.0,20.0814729597274,54.0
2006-03-15,45.0,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,98.3529405258357,19.833646495043432,24.0
2006-03-16,45.0,CAUTIOUS,True,2.0802689640681216,0.0,0.0,100.0,48.10676598386097,100.0,29.97647756966981,54.0
2006-03-17,45.0,CAUTIOUS,False,4.790645039607666,0.0,60.0,0.0,48.358212541962786,100.0,21.562021702357505,54.0
2006-03-20,45.0,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,82.68385631347603,36.94507023619538,19.999999999999996
2006-03-21,45.0,CAUTIOUS,False,0.0,0.0,0.0,35.2969512628909,13.12382815726707,44.51740697909074,9.44728515544565,80.0
2006-03-22,40.847802208987254,CAUTIOUS,False,0.0,0.0,0.0,0.0,13.091914873944788,38.031913488842385,23.914587911500583,46.0
2006-03-23,35.69922197868989,NEUTRAL,False,0.0,0.0,0.0,9.70715737470651,0.0,0.0,50.12521996116685,76.0
2006-03-24,33.90048127956657,NEUTRAL,False,0.0,0.0,0.0,0.0,0.0,0.0,47.27350451682061,42.00000000000001
2006-03-27,11.589117615682234,BULLISH,False,0.0,0.0,0.0,5.053731838510172,0.0,0.0,25.91887490641893,37.999999999999986
2006-03-28,45.0,CAUTIOUS,False,0.0,0.0,57.487038887328204,61.693369371033235,27.111927678086694,24.69161404252157,27.013647281705197,72.0
2006-03-29,45.0,CAUTIOUS,False,0.0,0.0,45.32434881163868,0.0,0.0,0.0,0.0,12.00000000000001
2006-03-30,39.29634979798602,NEUTRAL,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5729068083857314,12.00000000000001
2006-03-31,42.39045084550746,CAUTIOUS,False,0.0,0.0,45.931619215375584,18.812741490360864,16.742770167427746,0.0,6.041525644236323,12.00000000000001
2006-04-03,3.992391478928168,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.00000000000001
2006-04-04,3.4479997526064015,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999999999999964
2006-04-05,1.4399999999999993,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999999999999964
2006-04-06,0.7879700826663121,BULLISH,False,0.4855005904736531,0.0,0.0,0.0,0.0,0.0,0.0,4.0000000000000036
2006-04-07,19.888659324235768,BULLISH,False,21.166608452672087,0.0,57.99556298491948,71.67756117287297,67.0137697041442,0.0,15.533965959937346,4.0000000000000036
2006-04-10,18.041479130009925,BULLISH,False,18.193683111459148,0.0,60.0,41.435509988804185,59.81386091466448,0.0,56.914072447041335,4.0000000000000036
2006-04-11,15.29624227551554,BULLISH,False,36.03308633465447,0.0,0.0,41.73053811453583,53.80971697050276,0.0,35.4755803914022,0.0
2006-04-12,8.330672353851758,BULLISH,False,27.837965143664636,0.0,0.0,0.0,42.90090812928995,0.0,20.025691667910237,0.0
2006-04-13,3.2805536013430743,BULLISH,False,17.53088530757072,0.0,0.0,0.0,0.0,0.0,16.52459316566346,0.0
2006-04-17,13.933785387689799,BULLISH,False,22.02739024702418,0.0,0.0,47.29950753106414,0.0,0.0,0.0,34.0
2006-04-18,0.7200000000000006,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0000000000000036
2006-04-19,0.7200000000000006,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0000000000000036
2006-04-20,5.517215799574745,BULLISH,False,0.0,0.0,70.0,12.972157995747446,0.0,0.0,0.0,4.0000000000000036
2006-04-21,33.9859024022589,NEUTRAL,True,0.0,0.0,70.0,75.52422756057534,50.02628510181845,0.0,0.0,37.999999999999986
2006-04-24,13.13152657816357,BULLISH,False,0.0,0.0,60.0,9.451282166607593,20.329979518785102,0.0,0.0,42.00000000000001
2006-04-25,11.948182707849629,BULLISH,False,0.0,0.0,56.88387358385823,7.148956226730545,0.0,0.0,2.181868119673247,46.0
2006-04-26,10.699444708666462,BULLISH,False,0.0,0.0,0.0,16.994447086664618,0.0,0.0,0.0,50.0
2006-04-27,3.6586120860997164,BULLISH,False,0.41865775785512316,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996
2006-04-28,12.985144350429016,BULLISH,False,0.0,0.0,0.0,32.65144350429017,0.0,0.0,0.0,54.0
2006-05-01,37.800000000000004,NEUTRAL,False,16.613364753408533,0.0,0.0,42.998463871759775,78.0696420912693,0.0,0.0,84.0
2006-05-02,39.6,NEUTRAL,False,2.1927245232293835,0.0,0.0,0.0,35.178704408715426,0.0,3.57137423794045,88.0
2006-05-03,41.4,CAUTIOUS,False,1.117575656104841,0.0,0.0,4.812309727965461,0.0,0.0,46.206902826394725,92.0
2006-05-04,11.99082009451455,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7071464433566099,66.0
2006-05-05,5.760000000000001,BULLISH,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.00000000000001
2006-05-08,8.22573724442414,BULLISH,False,0.5635566687539173,0.0,45.69801690017275,8.219384657899537,0.0,0.0,0.0,28.000000000000004
2006-05-09,12.129498989526459,BULLISH,False,0.564027574681436,0.0,70.0,31.69146718285054,13.267355134825051,0.0,0.0,24.0
2006-05-10,37.800000000000004,NEUTRAL,False,0.0,0.0,0.0,69.89487092403472,20.095180758427134,5.16836418662181,24.764044317067977,84.0
2006-05-11,45.0,CAUTIOUS,True,15.059278567224421,0.0,0.0,100.0,70.85070892410342,14.25217439048776,73.836471384371,88.0
2006-05-12,45.0,CAUTIOUS,True,55.23845287269991,0.0,0.0,67.50103151242693,100.0,4.014483616684994,83.99588636566375,88.0
2006-05-15,40.25500969707944,CAUTIOUS,True,38.31962104213416,0.0,0.0,30.729764024312416,78.82612714336535,38.610244062377284,84.41039109681392,88.0
2006-05-16,39.6,NEUTRAL,False,30.159515271423267,0.0,0.0,24.899351091896374,13.137146290598345,56.756842277982955,66.35500665267539,88.0
2006-05-17,52.66155581463151,CAUTIOUS,True,60.0,0.0,0.0,83.20104058482325,100.0,69.40815806384113,64.85761383360605,88.0
2006-05-18,51.15129158790808,CAUTIOUS,True,60.0,0.0,0.0,66.12425514768178,100.0,87.76670796706219,69.37715511028594,88.0
2006-05-19,41.4,CAUTIOUS,False,60.0,0.0,0.0,0.0,23.575235752357475,55.675232868750136,26.45216235680965,92.0
2006-05-22,49.126931960656634,CAUTIOUS,True,60.0,0.0,0.0,97.33784092977191,17.902687855601343,76.96062437110795,57.87378266507556,96.0
2006-05-23,49.378714177622236,CAUTIOUS,False,60.0,0.0,0.0,53.143968648988746,79.71701600003384,57.67333754027937,64.996448098022,100.0
2006-05-24,45.0,CAUTIOUS,False,60.0,0.0,0.0,0.0,0.0,51.28091360677991,26.40607452563404,100.0
2006-05-25,45.0,CAUTIOUS,False,31.870249437961707,0.0,0.0,0.0,0.0,87.82286059937721,2.7828135107918484,100.0
2006-05-26,45.0,CAUTIOUS,False,2.4390243902438824,0.0,0.0,0.0,0.0,59.61644801829259,0.0,100.0
2006-05-30,53.03566882713911,CAUTIOUS,True,60.0,0.0,0.0,100.0,95.73182407763886,68.09183406925239,4.213890321606739,100.0
2006-05-31,45.0,CAUTIOUS,False,36.11612771322452,0.0,0.0,0.0,92.4146757837371,34.689406532552034,0.0,100.0
2006-06-01,45.0,CAUTIOUS,False,0.0,0.0,0.0,0.0,0.0,13.875428075211804,0.0,100.0
2006-06-02,45.0,CAUTIOUS,False,0.0,0.0,0.0,8.387501863598157,0.0,40.51940382537783,0.0,100.0
2006-06-05,50.217340926063365,CAUTIOUS,True,60.0,0.0,0.0,100.0,100.0,22.411047016154818,4.971352698650556,100.0
2006-06-06,45.0,CAUTIOUS,False,60.0,0.0,0.0,19.86653022840909,100.0,23.31013784203112,21.73907585039703,100.0
2006-06-07,46.289059363015085,CAUTIOUS,True,29.21774013817697,0.0,0.0,84.55800759653326,55.16297767540641,57.89069992865603,65.54775549957093,100.0
2006-06-08,45.0,CAUTIOUS,False,35.69198155097837,0.0,0.0,23.022221400530714,51.703671305001166,43.27750279720459,72.96767818701066,100.0
2006-06-09,45.0,CAUTIOUS,False,52.75463134502034,0.0,0.0,21.701600156541026,12.896548797163554,48.30443732761426,49.51007712415414,100.0
2006-06-12,53.83943897277044,CAUTIOUS,True,35.61487871197608,0.0,0.0,100.0,100.0,66.95525963105715,83.32975557839573,100.0
2006-06-13,51.20624491442466,CAUTIOUS,True,60.0,0.0,0.0,20.05436731493948,100.0,89.28788274039535,91.01312782206078,100.0
2006-06-14,45.0,CAUTIOUS,True,100.0,0.0,0.0,0.0,0.0,73.57273521342745,37.84441267433141,100.0
2006-06-15,45.0,CAUTIOUS,False,76.96709585121603,0.0,0.0,0.0,0.0,50.64761993092303,0.0,100.0
2006-06-16,45.0,CAUTIOUS,False,60.0,0.0,0.0,54.99097372746501,0.0,41.387023279184085,0.0,100.0
2006-06-19,45.0,CAUTIOUS,False,60.0,0.0,60.0,34.844615525206684,88.44798669777383,32.85418043982219,0.0,100.0
2006-06-20,45.0,CAUTIOUS,False,33.18097113322318,0.0,70.0,20.21588543520895,0.0,15.163052034122549,0.0,100.0
2006-06-21,20.404921129135815,BULLISH,False,24.17261139048066,0.0,70.0,0.0,0.0,0.0,6.733249460734081,66.0
2006-06-22,43.2,CAUTIOUS,False,21.63742690058481,0.0,27.31614995899985,59.85671382080186,0.0,0.3997751399109628,12.477069528630524,96.0
2006-06-23,43.2,CAUTIOUS,False,3.2504846907585705,0.0,0.0,19.897538104519757,46.17598015450649,0.0,0.0,96.0
2006-06-26,43.2,CAUTIOUS,False,13.549948150708646,0.0,0.0,0.0,0.0,0.0,0.0,96.0
2006-06-27,45.0,CAUTIOUS,True,51.880242125226204,0.0,0.0,100.0,56.676781962707054,15.49052489808883,0.0,96.0
2006-06-28,43.2,CAUTIOUS,False,44.17068876886262,0.0,0.0,5.931577023540932,18.40535626418962,64.22579808314343,16.347791101927655,96.0
2006-06-29,37.68054047748289,NEUTRAL,False,23.83973904252288,0.0,0.0,0.0,0.0,49.5652251689227,83.73453439440642,62.0
